"","Rep","Line","BL","Chamber","Stress","Plant","Spike","SpikeLength"
"1",1,"MTH","C",12,"N",1,1,5.6
"2",1,"Hiline","D",12,"N",1,1,8.3
"3",1,"Hiline","F",12,"N",1,1,8.2
"4",1,"Vida","F",12,"N",1,1,NA
"5",1,"Berkut","H",12,"N",1,1,NA
"6",1,"MTH","H",12,"N",1,1,6.2
"7",1,"Berkut","S",12,"N",1,1,8.4
"8",1,"MTH","S",12,"N",1,1,8.8
"9",1,"Vida","S",12,"N",1,1,7
"10",1,"Berkut","C",14,"N",1,1,8.5
"11",1,"Hiline","C",14,"N",1,1,NA
"12",1,"Vida","D",14,"N",1,1,6.8
"13",1,"Berkut","F",14,"N",1,1,8.8
"14",1,"MTH","F",14,"N",1,1,5.2
"15",1,"Hiline","H",14,"N",1,1,5.2
"16",1,"Vida","H",14,"N",1,1,6.7
"17",1,"Hiline","S",14,"N",1,1,4.8
"18",1,"Berkut","C",12,"Y",1,1,NA
"19",1,"Hiline","C",12,"Y",1,1,7.1
"20",1,"Vida","D",12,"Y",1,1,NA
"21",1,"Berkut","F",12,"Y",1,1,NA
"22",1,"MTH","F",12,"Y",1,1,7
"23",1,"Hiline","H",12,"Y",1,1,NA
"24",1,"Vida","H",12,"Y",1,1,9.5
"25",1,"Hiline","S",12,"Y",1,1,6
"26",1,"MTH","C",14,"Y",1,1,NA
"27",1,"Vida","C",14,"Y",1,1,NA
"28",1,"Berkut","D",14,"Y",1,1,9
"29",1,"Hiline","D",14,"Y",1,1,6.5
"30",1,"Hiline","F",14,"Y",1,1,NA
"31",1,"Vida","F",14,"Y",1,1,NA
"32",1,"Berkut","H",14,"Y",1,1,8.4
"33",1,"MTH","H",14,"Y",1,1,8
"34",1,"Berkut","S",14,"Y",1,1,NA
"35",1,"MTH","S",14,"Y",1,1,4.2
"36",1,"Vida","S",14,"Y",1,1,NA
"37",1,"MTH","C",12,"N",2,1,6.3
"38",1,"Vida","C",12,"N",2,1,NA
"39",1,"Berkut","D",12,"N",2,1,7.5
"40",1,"Hiline","D",12,"N",2,1,8.3
"41",1,"Hiline","F",12,"N",2,1,NA
"42",1,"Berkut","H",12,"N",2,1,NA
"43",1,"MTH","H",12,"N",2,1,2.9
"44",1,"Berkut","S",12,"N",2,1,9
"45",1,"Vida","S",12,"N",2,1,10.6
"46",1,"Berkut","C",14,"N",2,1,9.1
"47",1,"Hiline","C",14,"N",2,1,NA
"48",1,"MTH","D",14,"N",2,1,7.7
"49",1,"Vida","D",14,"N",2,1,5.7
"50",1,"Berkut","F",14,"N",2,1,9
"51",1,"MTH","F",14,"N",2,1,8.4
"52",1,"Hiline","H",14,"N",2,1,6.9
"53",1,"Vida","H",14,"N",2,1,6.7
"54",1,"Hiline","S",14,"N",2,1,NA
"55",1,"Berkut","C",12,"Y",2,1,NA
"56",1,"Hiline","C",12,"Y",2,1,NA
"57",1,"MTH","D",12,"Y",2,1,6.8
"58",1,"Vida","D",12,"Y",2,1,9.1
"59",1,"Berkut","F",12,"Y",2,1,5
"60",1,"MTH","F",12,"Y",2,1,6.3
"61",1,"Hiline","H",12,"Y",2,1,NA
"62",1,"Vida","H",12,"Y",2,1,3.4
"63",1,"MTH","C",14,"Y",2,1,4.2
"64",1,"Vida","C",14,"Y",2,1,7
"65",1,"Berkut","D",14,"Y",2,1,8.6
"66",1,"Hiline","D",14,"Y",2,1,6.5
"67",1,"Hiline","F",14,"Y",2,1,NA
"68",1,"Vida","F",14,"Y",2,1,7.8
"69",1,"Berkut","H",14,"Y",2,1,4.5
"70",1,"MTH","H",14,"Y",2,1,NA
"71",1,"Berkut","S",14,"Y",2,1,9.5
"72",1,"Vida","S",14,"Y",2,1,7.6
"73",1,"MTH","C",12,"N",3,1,NA
"74",1,"Vida","C",12,"N",3,1,8
"75",1,"Berkut","D",12,"N",3,1,NA
"76",1,"Hiline","D",12,"N",3,1,9.2
"77",1,"Hiline","F",12,"N",3,1,8.4
"78",1,"Vida","F",12,"N",3,1,8.3
"79",1,"MTH","H",12,"N",3,1,6.3
"80",1,"MTH","S",12,"N",3,1,NA
"81",1,"Berkut","C",14,"N",3,1,9.5
"82",1,"Hiline","C",14,"N",3,1,NA
"83",1,"MTH","D",14,"N",3,1,6.3
"84",1,"Vida","D",14,"N",3,1,8.2
"85",1,"Berkut","F",14,"N",3,1,8.5
"86",1,"MTH","F",14,"N",3,1,8.1
"87",1,"Hiline","H",14,"N",3,1,6
"88",1,"Vida","H",14,"N",3,1,7.2
"89",1,"Hiline","S",14,"N",3,1,6.3
