"","Group.1","Group.2","Group.3","Group.4","Group.5","Group.6","Group.7","x"
"1",3,"Hiline","C",12,"N",1,1,6.5
"2",3,"Hiline","D",12,"N",1,1,6.1
"3",3,"Hiline","F",12,"N",1,1,7
"4",3,"Hiline","H",12,"N",1,1,NA
"5",3,"Hiline","S",12,"N",1,1,NA
"6",3,"MTH","C",14,"N",1,1,8
"7",3,"Vida","C",14,"N",1,1,8
"8",3,"MTH","D",14,"N",1,1,7
"9",3,"Vida","D",14,"N",1,1,7.5
"10",3,"MTH","F",14,"N",1,1,6
"11",3,"Vida","F",14,"N",1,1,7
"12",3,"MTH","H",14,"N",1,1,7.8
"13",3,"Vida","H",14,"N",1,1,6.2
"14",3,"Hiline","S",14,"N",1,1,5.4
"15",3,"MTH","S",14,"N",1,1,9.9
"16",3,"Vida","S",14,"N",1,1,8.5
"17",3,"Hiline","C",12,"Y",1,1,6.5
"18",3,"Hiline","D",12,"Y",1,1,5
"19",3,"Hiline","F",12,"Y",1,1,NA
"20",3,"Hiline","H",12,"Y",1,1,4.7
"21",3,"Hiline","S",12,"Y",1,1,4.7
"22",3,"MTH","C",14,"Y",1,1,7.5
"23",3,"Vida","C",14,"Y",1,1,7.4
"24",3,"MTH","D",14,"Y",1,1,7.8
"25",3,"Vida","F",14,"Y",1,1,7
"26",3,"MTH","H",14,"Y",1,1,9.2
"27",3,"Vida","H",14,"Y",1,1,7.5
"28",3,"MTH","S",14,"Y",1,1,4
"29",3,"Vida","S",14,"Y",1,1,NA
"30",3,"Hiline","C",12,"N",2,1,6
"31",3,"Hiline","D",12,"N",2,1,7.2
"32",3,"Hiline","F",12,"N",2,1,6
"33",3,"Hiline","H",12,"N",2,1,7.5
"34",3,"Hiline","S",12,"N",2,1,7
"35",3,"MTH","C",14,"N",2,1,7
"36",3,"MTH","D",14,"N",2,1,8
"37",3,"Vida","D",14,"N",2,1,5
"38",3,"MTH","F",14,"N",2,1,7.5
"39",3,"Vida","F",14,"N",2,1,7.5
"40",3,"MTH","H",14,"N",2,1,8.5
"41",3,"Vida","H",14,"N",2,1,5.8
"42",3,"MTH","S",14,"N",2,1,7.7
"43",3,"Hiline","D",12,"Y",2,1,6
"44",3,"Hiline","F",12,"Y",2,1,6
"45",3,"Hiline","H",12,"Y",2,1,6.5
"46",3,"Hiline","S",12,"Y",2,1,3.5
"47",3,"MTH","C",14,"Y",2,1,9
"48",3,"Vida","C",14,"Y",2,1,7.5
"49",3,"MTH","D",14,"Y",2,1,4.8
"50",3,"Vida","D",14,"Y",2,1,6.1
"51",3,"MTH","F",14,"Y",2,1,8.2
"52",3,"Vida","H",14,"Y",2,1,6.2
"53",3,"MTH","S",14,"Y",2,1,8.9
"54",3,"Hiline","C",12,"N",3,1,6.3
"55",3,"Hiline","D",12,"N",3,1,6.2
"56",3,"Hiline","H",12,"N",3,1,7.5
"57",3,"Hiline","S",12,"N",3,1,6.2
"58",3,"MTH","C",14,"N",3,1,7.5
"59",3,"Vida","C",14,"N",3,1,8.6
"60",3,"Vida","D",14,"N",3,1,5.3
"61",3,"MTH","H",14,"N",3,1,8.5
"62",3,"Vida","H",14,"N",3,1,8
"63",3,"MTH","S",14,"N",3,1,8.5
"64",3,"Hiline","C",12,"Y",3,1,4
"65",3,"Hiline","D",12,"Y",3,1,4.2
