"","Rep","Line","BL","Chamber","HS","Plant","Spike","GrainNo"
"1",1,"MTH","C",12,"N",1,1,27
"2",1,"Hiline","D",12,"N",1,1,32
"3",1,"Hiline","F",12,"N",1,1,39
"4",1,"Vida","F",12,"N",1,1,39
"5",1,"Berkut","H",12,"N",1,1,14
"6",1,"MTH","H",12,"N",1,1,23
"7",1,"Berkut","S",12,"N",1,1,39
"8",1,"MTH","S",12,"N",1,1,48
"9",1,"Vida","S",12,"N",1,1,17
"10",1,"Berkut","C",14,"N",1,1,33
"11",1,"Hiline","C",14,"N",1,1,6
"12",1,"Vida","D",14,"N",1,1,13
"13",1,"Berkut","F",14,"N",1,1,16
"14",1,"MTH","F",14,"N",1,1,0
"15",1,"Hiline","H",14,"N",1,1,0
"16",1,"Vida","H",14,"N",1,1,1
"17",1,"Hiline","S",14,"N",1,1,0
"18",1,"Berkut","C",12,"Y",1,1,0
"19",1,"Hiline","C",12,"Y",1,1,20
"20",1,"Vida","D",12,"Y",1,1,16
"21",1,"Berkut","F",12,"Y",1,1,22
"22",1,"MTH","F",12,"Y",1,1,2
"23",1,"Hiline","H",12,"Y",1,1,19
"24",1,"Vida","H",12,"Y",1,1,29
"25",1,"Hiline","S",12,"Y",1,1,0
"26",1,"MTH","C",14,"Y",1,1,19
"27",1,"Vida","C",14,"Y",1,1,0
"28",1,"Berkut","D",14,"Y",1,1,13
"29",1,"Hiline","D",14,"Y",1,1,4
"30",1,"Hiline","F",14,"Y",1,1,13
"31",1,"Vida","F",14,"Y",1,1,15
"32",1,"Berkut","H",14,"Y",1,1,0
"33",1,"MTH","H",14,"Y",1,1,0
"34",1,"Berkut","S",14,"Y",1,1,0
"35",1,"MTH","S",14,"Y",1,1,13
"36",1,"Vida","S",14,"Y",1,1,16
"37",1,"MTH","C",12,"N",2,1,16
"38",1,"Vida","C",12,"N",2,1,23
"39",1,"Berkut","D",12,"N",2,1,13
"40",1,"Hiline","D",12,"N",2,1,32
"41",1,"Hiline","F",12,"N",2,1,41
"42",1,"Berkut","H",12,"N",2,1,62
"43",1,"MTH","H",12,"N",2,1,4
"44",1,"Berkut","S",12,"N",2,1,67
"45",1,"Vida","S",12,"N",2,1,51
"46",1,"Berkut","C",14,"N",2,1,53
"47",1,"Hiline","C",14,"N",2,1,31
"48",1,"MTH","D",14,"N",2,1,29
"49",1,"Vida","D",14,"N",2,1,0
"50",1,"Berkut","F",14,"N",2,1,62
"51",1,"MTH","F",14,"N",2,1,39
"52",1,"Hiline","H",14,"N",2,1,24
"53",1,"Vida","H",14,"N",2,1,7
"54",1,"Hiline","S",14,"N",2,1,4
"55",1,"Berkut","C",12,"Y",2,1,0
"56",1,"Hiline","C",12,"Y",2,1,0
"57",1,"MTH","D",12,"Y",2,1,16
"58",1,"Vida","D",12,"Y",2,1,4
"59",1,"Berkut","F",12,"Y",2,1,19
"60",1,"MTH","F",12,"Y",2,1,15
"61",1,"Hiline","H",12,"Y",2,1,0
"62",1,"Vida","H",12,"Y",2,1,4
"63",1,"MTH","C",14,"Y",2,1,4
"64",1,"Vida","C",14,"Y",2,1,26
"65",1,"Berkut","D",14,"Y",2,1,0
"66",1,"Hiline","D",14,"Y",2,1,7
"67",1,"Hiline","F",14,"Y",2,1,0
"68",1,"Vida","F",14,"Y",2,1,32
"69",1,"Berkut","H",14,"Y",2,1,0
"70",1,"MTH","H",14,"Y",2,1,0
"71",1,"Berkut","S",14,"Y",2,1,2
"72",1,"Vida","S",14,"Y",2,1,32
"73",1,"MTH","C",12,"N",3,1,34
"74",1,"Vida","C",12,"N",3,1,22
"75",1,"Berkut","D",12,"N",3,1,47
"76",1,"Hiline","D",12,"N",3,1,26
"77",1,"Hiline","F",12,"N",3,1,14
"78",1,"Vida","F",12,"N",3,1,41
"79",1,"MTH","H",12,"N",3,1,33
"80",1,"MTH","S",12,"N",3,1,18
"81",1,"Berkut","C",14,"N",3,1,41
"82",1,"Hiline","C",14,"N",3,1,0
"83",1,"MTH","D",14,"N",3,1,0
"84",1,"Vida","D",14,"N",3,1,34
"85",1,"Berkut","F",14,"N",3,1,40
"86",1,"MTH","F",14,"N",3,1,7
"87",1,"Hiline","H",14,"N",3,1,25
"88",1,"Vida","H",14,"N",3,1,24
"89",1,"Hiline","S",14,"N",3,1,34
"90",1,"Berkut","C",12,"Y",3,1,7
"91",1,"Hiline","C",12,"Y",3,1,20
"92",1,"MTH","D",12,"Y",3,1,9
"93",1,"Vida","D",12,"Y",3,1,25
"94",1,"Berkut","F",12,"Y",3,1,4
"95",1,"MTH","F",12,"Y",3,1,7
"96",1,"Hiline","H",12,"Y",3,1,14
"97",1,"Vida","H",12,"Y",3,1,32
"98",1,"MTH","C",14,"Y",3,1,0
"99",1,"Vida","C",14,"Y",3,1,9
"100",1,"Berkut","D",14,"Y",3,1,3
"101",1,"Hiline","D",14,"Y",3,1,4
"102",1,"Hiline","F",14,"Y",3,1,0
"103",1,"Vida","F",14,"Y",3,1,0
"104",1,"Berkut","H",14,"Y",3,1,0
"105",1,"MTH","H",14,"Y",3,1,30
"106",1,"Berkut","S",14,"Y",3,1,0
"107",1,"MTH","S",14,"Y",3,1,25
"108",1,"Vida","S",14,"Y",3,1,0
"109",1,"MTH","C",12,"N",4,1,21
"110",1,"Vida","C",12,"N",4,1,15
"111",1,"Berkut","D",12,"N",4,1,39
"112",1,"Hiline","D",12,"N",4,1,37
"113",1,"Vida","F",12,"N",4,1,0
"114",1,"Berkut","H",12,"N",4,1,22
"115",1,"MTH","H",12,"N",4,1,4
"116",1,"Berkut","S",12,"N",4,1,0
"117",1,"MTH","S",12,"N",4,1,19
"118",1,"Berkut","C",14,"N",4,1,47
"119",1,"Hiline","C",14,"N",4,1,42
"120",1,"MTH","D",14,"N",4,1,35
"121",1,"Vida","D",14,"N",4,1,22
"122",1,"Berkut","F",14,"N",4,1,57
"123",1,"MTH","F",14,"N",4,1,0
"124",1,"Hiline","H",14,"N",4,1,17
"125",1,"Vida","H",14,"N",4,1,20
"126",1,"Berkut","C",12,"Y",4,1,0
"127",1,"Hiline","C",12,"Y",4,1,17
"128",1,"MTH","D",12,"Y",4,1,4
"129",1,"Vida","D",12,"Y",4,1,0
"130",1,"Berkut","F",12,"Y",4,1,8
"131",1,"MTH","F",12,"Y",4,1,7
"132",1,"Hiline","H",12,"Y",4,1,0
"133",1,"Hiline","S",12,"Y",4,1,10
"134",1,"MTH","C",14,"Y",4,1,23
"135",1,"Berkut","D",14,"Y",4,1,0
"136",1,"Hiline","D",14,"Y",4,1,10
"137",1,"Hiline","F",14,"Y",4,1,0
"138",1,"Vida","F",14,"Y",4,1,25
"139",1,"Berkut","H",14,"Y",4,1,4
"140",1,"MTH","H",14,"Y",4,1,0
"141",1,"Berkut","S",14,"Y",4,1,0
"142",1,"MTH","S",14,"Y",4,1,0
"143",1,"Vida","S",14,"Y",4,1,0
"144",1,"MTH","C",12,"N",5,1,13
"145",1,"Vida","C",12,"N",5,1,40
"146",1,"Berkut","D",12,"N",5,1,50
"147",1,"Hiline","D",12,"N",5,1,23
"148",1,"Hiline","F",12,"N",5,1,17
"149",1,"Vida","F",12,"N",5,1,22
