,Rep,Line,BL,Chamber,Stress,Plant,GN
1,1,MTH,C,12,N,1,65
2,1,Hiline,D,12,N,1,81
3,1,Hiline,F,12,N,1,182
4,1,Vida,F,12,N,1,236
5,1,Berkut,H,12,N,1,96
6,1,MTH,H,12,N,1,251
7,1,Berkut,S,12,N,1,202
8,1,MTH,S,12,N,1,290
9,1,Vida,S,12,N,1,111
10,1,Berkut,C,14,N,1,64
11,1,Hiline,C,14,N,1,156
12,1,Vida,D,14,N,1,124
13,1,Berkut,F,14,N,1,187
14,1,MTH,F,14,N,1,10
15,1,Hiline,H,14,N,1,74
16,1,Vida,H,14,N,1,121
17,1,Hiline,S,14,N,1,15
18,1,Berkut,C,12,Y,1,0
19,1,Hiline,C,12,Y,1,110
20,1,Vida,D,12,Y,1,152
21,1,Berkut,F,12,Y,1,36
22,1,MTH,F,12,Y,1,77
23,1,Hiline,H,12,Y,1,85
24,1,Vida,H,12,Y,1,52
25,1,Hiline,S,12,Y,1,15
26,1,MTH,C,14,Y,1,92
27,1,Vida,C,14,Y,1,170
28,1,Berkut,D,14,Y,1,13
29,1,Hiline,D,14,Y,1,13
30,1,Hiline,F,14,Y,1,99
31,1,Vida,F,14,Y,1,65
32,1,Berkut,H,14,Y,1,0
33,1,MTH,H,14,Y,1,28
34,1,Berkut,S,14,Y,1,1
35,1,MTH,S,14,Y,1,166
36,1,Vida,S,14,Y,1,37
37,1,MTH,C,12,N,2,110
38,1,Vida,C,12,N,2,253
39,1,Berkut,D,12,N,2,66
40,1,Hiline,D,12,N,2,56
41,1,Hiline,F,12,N,2,330
42,1,Berkut,H,12,N,2,160
43,1,MTH,H,12,N,2,90
44,1,Berkut,S,12,N,2,243
45,1,Vida,S,12,N,2,265
46,1,Berkut,C,14,N,2,140
47,1,Hiline,C,14,N,2,163
48,1,MTH,D,14,N,2,55
49,1,Vida,D,14,N,2,161
50,1,Berkut,F,14,N,2,195
51,1,MTH,F,14,N,2,206
52,1,Hiline,H,14,N,2,227
53,1,Vida,H,14,N,2,116
54,1,Hiline,S,14,N,2,140
55,1,Berkut,C,12,Y,2,0
56,1,Hiline,C,12,Y,2,128
57,1,MTH,D,12,Y,2,64
58,1,Vida,D,12,Y,2,83
59,1,Berkut,F,12,Y,2,63
60,1,MTH,F,12,Y,2,37
61,1,Hiline,H,12,Y,2,69
62,1,Vida,H,12,Y,2,89
63,1,MTH,C,14,Y,2,54
64,1,Vida,C,14,Y,2,136
65,1,Berkut,D,14,Y,2,9
66,1,Hiline,D,14,Y,2,47
67,1,Hiline,F,14,Y,2,79
68,1,Vida,F,14,Y,2,132
69,1,Berkut,H,14,Y,2,0
70,1,MTH,H,14,Y,2,162
71,1,Berkut,S,14,Y,2,113
72,1,Vida,S,14,Y,2,60
73,1,MTH,C,12,N,3,135
74,1,Vida,C,12,N,3,210
75,1,Berkut,D,12,N,3,393
76,1,Hiline,D,12,N,3,102
77,1,Hiline,F,12,N,3,172
78,1,Vida,F,12,N,3,199
79,1,MTH,H,12,N,3,114
80,1,MTH,S,12,N,3,342
81,1,Berkut,C,14,N,3,41
82,1,Hiline,C,14,N,3,66
83,1,MTH,D,14,N,3,198
84,1,Vida,D,14,N,3,165
85,1,Berkut,F,14,N,3,136
86,1,MTH,F,14,N,3,108
87,1,Hiline,H,14,N,3,162
88,1,Vida,H,14,N,3,229
89,1,Hiline,S,14,N,3,221
90,1,Berkut,C,12,Y,3,7
91,1,Hiline,C,12,Y,3,80
92,1,MTH,D,12,Y,3,44
93,1,Vida,D,12,Y,3,307
94,1,Berkut,F,12,Y,3,64
95,1,MTH,F,12,Y,3,30
96,1,Hiline,H,12,Y,3,57
97,1,Vida,H,12,Y,3,125
98,1,MTH,C,14,Y,3,82
99,1,Vida,C,14,Y,3,134
100,1,Berkut,D,14,Y,3,19
101,1,Hiline,D,14,Y,3,92
102,1,Hiline,F,14,Y,3,69
103,1,Vida,F,14,Y,3,138
104,1,Berkut,H,14,Y,3,11
105,1,MTH,H,14,Y,3,34
106,1,Berkut,S,14,Y,3,4
107,1,MTH,S,14,Y,3,103
108,1,Vida,S,14,Y,3,65
109,1,MTH,C,12,N,4,147
110,1,Vida,C,12,N,4,408
111,1,Berkut,D,12,N,4,130
112,1,Hiline,D,12,N,4,177
113,1,Vida,F,12,N,4,216
114,1,Berkut,H,12,N,4,332
115,1,MTH,H,12,N,4,123
116,1,Berkut,S,12,N,4,120
117,1,MTH,S,12,N,4,231
118,1,Berkut,C,14,N,4,417
119,1,Hiline,C,14,N,4,219
120,1,MTH,D,14,N,4,101
121,1,Vida,D,14,N,4,55
122,1,Berkut,F,14,N,4,146
123,1,MTH,F,14,N,4,130
124,1,Hiline,H,14,N,4,151
125,1,Vida,H,14,N,4,195
126,1,Berkut,C,12,Y,4,0
127,1,Hiline,C,12,Y,4,90
128,1,MTH,D,12,Y,4,50
129,1,Vida,D,12,Y,4,94
130,1,Berkut,F,12,Y,4,79
131,1,MTH,F,12,Y,4,12
132,1,Hiline,H,12,Y,4,89
133,1,Hiline,S,12,Y,4,221
134,1,MTH,C,14,Y,4,87
135,1,Berkut,D,14,Y,4,0
136,1,Hiline,D,14,Y,4,122
137,1,Hiline,F,14,Y,4,106
138,1,Vida,F,14,Y,4,152
139,1,Berkut,H,14,Y,4,5
140,1,MTH,H,14,Y,4,16
141,1,Berkut,S,14,Y,4,0
142,1,MTH,S,14,Y,4,183
143,1,Vida,S,14,Y,4,135
144,1,MTH,C,12,N,5,114
145,1,Vida,C,12,N,5,247
146,1,Berkut,D,12,N,5,140
147,1,Hiline,D,12,N,5,242
148,1,Hiline,F,12,N,5,279
149,1,Vida,F,12,N,5,218
150,1,Berkut,H,12,N,5,362
151,1,MTH,H,12,N,5,61
152,1,Berkut,S,12,N,5,250
153,1,Vida,S,12,N,5,410
154,1,MTH,D,14,N,5,122
155,1,Berkut,F,14,N,5,162
156,1,MTH,F,14,N,5,212
157,1,Hiline,H,14,N,5,43
158,1,Vida,H,14,N,5,128
159,1,Hiline,S,14,N,5,64
160,1,Berkut,C,12,Y,5,0
161,1,Hiline,C,12,Y,5,NA
162,1,MTH,D,12,Y,5,74
163,1,Berkut,F,12,Y,5,51
164,1,MTH,F,12,Y,5,86
165,1,Hiline,H,12,Y,5,108
166,1,Vida,H,12,Y,5,246
167,1,Hiline,S,12,Y,5,131
168,1,MTH,C,14,Y,5,1
169,1,Vida,C,14,Y,5,79
170,1,Berkut,D,14,Y,5,11
171,1,Hiline,D,14,Y,5,64
172,1,Hiline,F,14,Y,5,64
173,1,Vida,F,14,Y,5,228
174,1,Berkut,H,14,Y,5,4
175,1,Berkut,S,14,Y,5,0
176,1,Vida,S,14,Y,5,71
177,2,Berkut,C,12,N,1,157
178,2,Berkut,D,12,N,1,118
179,2,Hiline,D,12,N,1,138
180,2,Berkut,F,12,N,1,158
181,2,Hiline,F,12,N,1,140
182,2,Berkut,H,12,N,1,113
183,2,Hiline,H,12,N,1,209
184,2,Berkut,S,12,N,1,64
185,2,Hiline,S,12,N,1,198
186,2,MTH,C,14,N,1,67
187,2,Vida,C,14,N,1,202
188,2,MTH,D,14,N,1,26
189,2,Vida,D,14,N,1,115
190,2,MTH,F,14,N,1,30
191,2,Vida,F,14,N,1,126
192,2,MTH,H,14,N,1,39
193,2,Vida,H,14,N,1,184
194,2,MTH,S,14,N,1,21
195,2,Berkut,C,12,Y,1,6
196,2,Hiline,C,12,Y,1,40
197,2,Berkut,D,12,Y,1,131
198,2,Hiline,D,12,Y,1,147
199,2,Berkut,F,12,Y,1,0
200,2,Hiline,F,12,Y,1,73
201,2,Berkut,H,12,Y,1,119
202,2,Hiline,H,12,Y,1,67
203,2,Berkut,S,12,Y,1,38
204,2,MTH,C,14,Y,1,47
205,2,Vida,C,14,Y,1,132
206,2,MTH,D,14,Y,1,50
207,2,Vida,D,14,Y,1,33
208,2,MTH,F,14,Y,1,31
209,2,Vida,F,14,Y,1,28
210,2,MTH,H,14,Y,1,36
211,2,Vida,H,14,Y,1,36
212,2,MTH,S,14,Y,1,57
213,2,Vida,S,14,Y,1,36
214,2,Berkut,C,12,N,2,112
215,2,Berkut,D,12,N,2,65
216,2,Hiline,D,12,N,2,140
217,2,Berkut,F,12,N,2,237
218,2,Hiline,F,12,N,2,161
219,2,Berkut,H,12,N,2,76
220,2,Berkut,S,12,N,2,188
221,2,Hiline,S,12,N,2,83
222,2,MTH,C,14,N,2,45
223,2,MTH,D,14,N,2,59
224,2,Vida,D,14,N,2,78
225,2,MTH,F,14,N,2,60
226,2,Vida,F,14,N,2,213
227,2,MTH,H,14,N,2,42
228,2,Vida,H,14,N,2,196
229,2,MTH,S,14,N,2,125
230,2,Berkut,C,12,Y,2,37
231,2,Hiline,C,12,Y,2,101
232,2,Berkut,D,12,Y,2,0
233,2,Hiline,D,12,Y,2,84
234,2,Berkut,F,12,Y,2,0
235,2,Hiline,F,12,Y,2,79
236,2,Berkut,H,12,Y,2,42
237,2,Hiline,H,12,Y,2,91
238,2,Berkut,S,12,Y,2,138
239,2,MTH,C,14,Y,2,15
240,2,Vida,C,14,Y,2,163
241,2,MTH,D,14,Y,2,62
242,2,Vida,D,14,Y,2,53
243,2,MTH,F,14,Y,2,57
